カテゴリ名,カテゴリURL,サブカテゴリ名,サブカテゴリURL,商品名,効果,有効成分,説明文,商品URL,検索キーワード
AGA治療薬,https://okusuritsuhan.shop/search?AMI=6,ヘアケアシャンプー,https://okusuritsuhan.shop/search?AMI=6&ASI=23,ニゾラールシャンプー,AGA改善、抗真菌効果,ケトコナゾール,頭皮の真菌（マラセチア菌）増殖を抑え、フケ・かゆみ・赤みを改善するニゾラールシャンプー。抗真菌成分ケトコナゾール配合で、頭皮環境を整えて健やかなヘアケアをサポートします。,https://okusuritsuhan.shop/merchandise/258,"AGA治療薬,ヘアケアシャンプー,AGA改善、抗真菌効果,ケトコナゾール,ニゾラールシャンプー, Nizoralシャンプー, ケトコナゾールシャンプー, 薬用シャンプー海外, フケかゆみシャンプー,抗真菌シャンプー, 頭皮のかゆみ対策, 脂漏性皮膚炎, 頭皮の炎症, 薬用フケ防止シャンプー,フケが止まらない, 頭皮がかゆい, 頭皮が赤い, 脂っぽい頭皮, 頭皮の臭いが気になる"
AGA治療薬,https://okusuritsuhan.shop/search?AMI=6,男性薄毛サプリ,https://okusuritsuhan.shop/search?AMI=6&ASI=21,プレミアムリジン,薄毛予防、美肌効果など,"亜鉛,リジンなど",プレミアムリジンは、必須アミノ酸リジンを高配合したサプリメントです。口唇ヘルペスや免疫低下時の不調を予防・改善し、肌や髪の健康維持にも効果的。疲労回復や集中力向上をサポートします。,https://okusuritsuhan.shop/merchandise/267,"AGA治療薬,男性薄毛サプリ,薄毛予防、美肌効果など,亜鉛,リジンなど,プレミアムリジン, Lリジン, リジンサプリ, 抜け毛予防サプリ, 育毛アミノ酸,リジン, アミノ酸サプリ, 薄毛改善, 髪の成長促進, 栄養補助食品,自然な育毛サプリ,栄養補助AGA対策,アミノ酸薄毛予防,頭髪抜け毛が増えた, 頭の髪が細くなった, 髪のボリュームが減った, 育毛をサポートしたい, 健康的な髪を維持したい,栄養不足で髪が心配,自然な方法で薄毛対策したい"
ダイエット,https://okusuritsuhan.shop/search?AMI=15,ダイエットサプリ,https://okusuritsuhan.shop/search?AMI=15&ASI=52,アーユスリム,食欲抑制,"ガルシニア,グッグル",アーユスリムはガルシニア・カンボジア、ググル、ジムネマなど天然ハーブ配合のダイエットサプリ。脂肪の蓄積を防ぎ、食欲を抑え、糖・脂質代謝を改善。肥満や体重増加、甘い物過多による悩みに効果的です。」,https://okusuritsuhan.shop/merchandise/862,"ダイエット,ダイエットサプリ,食欲抑制,ガルシニア,グッグル,アーユスリム, Ayuslim, ダイエットサプリ, 脂肪燃焼サプリ, 海外ダイエット薬,減量サプリ, 体重コントロール, アーユルヴェーダダイエット, ナチュラルダイエット, 脂肪分解促進,なかなか痩せない, 食欲が止まらない, 代謝が悪い, 運動しても体重が落ちない, リバウンドしてしまう"
ダイエット,https://okusuritsuhan.shop/search?AMI=15,ゼニカル・ダイエットピル,https://okusuritsuhan.shop/search?AMI=15&ASI=50,オルリガル（ゼニカルジェネリック）,脂肪の吸収阻害,オルリスタット,オルリガルは脂肪吸収を抑えることで体重減少をサポートするダイエット治療薬です。主成分オルリスタットが摂取脂肪の約30％を体外へ排出し、食事制限や運動と併用することで効果を高めます。肥満改善や生活習慣病予防に有効です。,https://okusuritsuhan.shop/merchandise/423,"ダイエット,ゼニカル・ダイエットピル,脂肪の吸収阻害,オルリスタット,オルリガル, オルリスタット, ゼニカルジェネリック, 脂肪吸収抑制薬, ダイエット薬,ゼニカル, 脂肪ブロッカー, ダイエットサプリ, 体重減少サポート, 肥満治療薬,食べすぎて太った, 体脂肪を減らしたい, 痩せにくい体質, 脂っこい食事が多い, 健康的にダイエットしたい"
ダイエット,https://okusuritsuhan.shop/search?AMI=15,便秘薬,https://okusuritsuhan.shop/search?AMI=15&ASI=51,トリファラ,便秘改善,"トリファラ,インドグースベリー",古代アーユルヴェーダ処方「トリファラ」は、アムラ・ハリタキ・ビビタキの3果実を配合。便秘や消化不良を整え、腸内環境を改善。デトックスと美肌・健康維持をサポートします。,https://okusuritsuhan.shop/merchandise/428,"ダイエット,便秘薬,便秘改善,トリファラ,インドグースベリー,トリファラ, トリファラサプリ, アーユルヴェーダサプリ, 便秘改善サプリ, デトックスサプリ,Triphala, ハーブサプリ, アーユルヴェーダ, ナチュラルデトックス, 腸内環境改善,便秘が続く, 腸内環境を整えたい, お腹のハリが気になる, 肌荒れを改善したい, 自然にデトックスしたい"
美容・スキンケア,https://okusuritsuhan.shop/search?AMI=13,ニキビ,https://okusuritsuhan.shop/search?AMI=13&ASI=38,イソトロイン,ニキビ治療,イソトレチノイン,イソトロインは重度のニキビ治療に用いられる海外医薬品で、有効成分イソトレチノインが皮脂分泌を抑制し、毛穴の詰まりや炎症を根本から改善します。皮膚科で処方されるロアキュタンと同成分です。,https://okusuritsuhan.shop/merchandise/628,"美容・スキンケア,ニキビ,ニキビ治療,イソトレチノイン,イソトロイン, イソトロイン通販, イソトロイン購入, イソトロイン効果, イソトロイン副作用,イソトレチノイン, アキュテイン, ニキビ治療薬, ビタミンA誘導体, 皮脂抑制薬,重度のニキビが治らない, 皮脂分泌が多い, 顔のニキビ跡を改善したい, 炎症性ニキビに悩んでいる, 思春期ニキビが長引いている"
美容・スキンケア,https://okusuritsuhan.shop/search?AMI=13,美白・エイジングケア,https://okusuritsuhan.shop/search?AMI=13&ASI=43,プラセントレックス,美白、しわ・しみの改善,ヒトプラセンタ,創傷や炎症の治癒を促す医薬品「プラセントレックスジェル」。ヒト胎盤抽出物（プラセンタエキス）が細胞再生と血行促進を助け、傷跡やニキビ跡の改善、美肌・アンチエイジングにも効果が期待できる再生医療発想のジェルです。,https://okusuritsuhan.shop/merchandise/363,"美容・スキンケア,美白・エイジングケア,美白、しわ・しみの改善,ヒトプラセンタ,プラセントレックス,プラセントレックスジェル, Placentrex Gel, プラセンタ,プラセンタジェル, ヒーリングジェル, 傷跡ケアクリーム,プラセンタクリーム, 創傷治癒ジェル, 肌再生ジェル, ニキビ跡改善, 肌修復ジェル,ニキビ跡が消えない, 手術の傷跡を薄くしたい, 肌の赤みを治したい, 肌の再生を促したい, 炎症を早く治したい"
美容・スキンケア,https://okusuritsuhan.shop/search?AMI=13,日焼け止め,https://okusuritsuhan.shop/search?AMI=13&ASI=44,ヘリオケアウルトラジェルSPF90,日焼け止め,"シクロペンタシロキサン,エチルヘキシルトリアゾン,酸化亜鉛など",ヘリオケア ウルトラジェル SPF90（Heliocare Ultra Gel SPF90）は、強力な紫外線から肌を守る高SPFの日焼け止めジェルです。軽い使用感でべたつかず、敏感肌にも適しています。紫外線によるシミ・シワ・肌老化を防ぎ、透明感のある肌を維持します。,https://okusuritsuhan.shop/merchandise/369,"美容・スキンケア,日焼け止め,日焼け止め,シクロペンタシロキサン,エチルヘキシルトリアゾン,酸化亜鉛など,ヘリオケアウルトラジェルSPF90, ヘリオケアジェル, ヘリオケア日焼け止め, Heliocare Ultra Gel SPF90, 海外日焼け止め高SPF,ヘリオケア, UVケアジェル, 高SPF日焼け止め, 紫外線対策, フォトプロテクション,日焼けしやすい, シミやそばかすが気になる, 肌が弱いけど紫外線対策したい, 敏感肌でも使える日焼け止めを探している, 強い日差しで肌荒れする"
美容・スキンケア,https://okusuritsuhan.shop/search?AMI=13,むくみ解消,https://okusuritsuhan.shop/search?AMI=13&ASI=42,トラセミド,むくみ改善、利尿作用、高血圧改善など,トラセミド,トラセミド（Torsemide）は、体内の余分な水分を排出するループ利尿薬です。心不全、肝硬変、腎疾患などによるむくみ（浮腫）や高血圧の改善に効果があります。有効成分はトラセミドで、腎臓に作用してナトリウムと水分の排泄を促進し、体の水分バランスを整えます。,https://okusuritsuhan.shop/merchandise/374,"美容・スキンケア,むくみ解消,むくみ改善、利尿作用、高血圧改善など,トラセミド,トラセミド, トラセミド錠, torasemide, 利尿剤 通販, 高血圧 むくみ 薬,ルプラック, フロセミド, ラシックス, 浮腫 改善, 尿量 増加,足のむくみが取れない, 顔がむくむ, 尿が出にくい, 体の水分が溜まる, 高血圧で足がパンパンになる"
美容・スキンケア,https://okusuritsuhan.shop/search?AMI=13,バストアップ,https://okusuritsuhan.shop/search?AMI=13&ASI=40,プエラリアミリフィカタブレット,バストアップ,プエラリアミリフィカ,プエラリアミリフィカタブレット（Pueraria Mirifica Tablets）は、女性ホルモンに似た植物性エストロゲンを豊富に含み、更年期障害の緩和やバストアップ、美肌効果が期待できるサプリメントです。主成分はプエラリアミリフィカ根エキスで、ホルモンバランスの乱れによるのぼせ・肌荒れ・情緒不安などの症状改善に有効です。,https://okusuritsuhan.shop/merchandise/649,"美容・スキンケア,バストアップ,バストアップ,プエラリアミリフィカ,プエラリアミリフィカ, プエラリアミリフィカタブレット, プエラリアサプリ, バストアップサプリ, 女性ホルモン補充サプリ,エストロゲン, 女性ホルモン, バストケア, 更年期サプリ, 美容ホルモン,胸が小さい, ハリがなくなった, 女性ホルモンが減った気がする, 更年期の症状がつらい, バストに自信がない"
美容・スキンケア,https://okusuritsuhan.shop/search?AMI=13,ボディケア,https://okusuritsuhan.shop/search?AMI=13&ASI=39,DNSローラー,肌のターンオーバーを促進なし,-,微細なチタン針で肌を刺激し、コラーゲン生成を促進する美肌ローラー。ニキビ跡・シワ・毛穴の開き・肌のハリ改善に効果的。有効成分ビタミンC美容液と併用で、浸透率が向上します。,https://okusuritsuhan.shop/merchandise/675,"美容・スキンケア,ボディケア,肌のターンオーバーを促進なし,-,DNSローラー, ダーマローラー, 美肌ローラー, スキンケアローラー, マイクロニードルローラー,マイクロニードル, 肌質改善, 毛穴ケア, ニキビ跡改善, 美肌治療,肌のハリがない, シワが気になる, 毛穴が目立つ, ニキビ跡を改善したい, 肌質を改善したい, 肌のツヤがない, 肌の再生を促したい"
美容・スキンケア,https://okusuritsuhan.shop/search?AMI=13,美容サプリ,https://okusuritsuhan.shop/search?AMI=13&ASI=45,L-グルタチオン（バイタルミー）,デトックスと美白作用に期待ができます。,L-グルタチオン,L-グルタチオン（バイタルミー）は、体の内側から透明感と若々しさをサポートする抗酸化サプリ。肝機能の保護や疲労回復、美白ケアにも役立つL-グルタチオンを高配合し、毎日の健康と美容を守ります。,https://okusuritsuhan.shop/merchandise/1193,"美容・スキンケア,美容サプリ,デトックスと美白作用に期待ができます。,L-グルタチオン,L-グルタチオン, バイタルミー, 美白サプリ, デトックスサプリ, 抗酸化サプリ,グルタチオン, グルタチオンサプリ, シミ対策, 肝機能改善, くすみ解消,肌のくすみが気になる, 美白効果のあるサプリが知りたい, 二日酔いを防ぎたい, 肌荒れを改善したい, 老化を防ぐサプリを探している"
美容・スキンケア,https://okusuritsuhan.shop/search?AMI=13,石鹸,https://okusuritsuhan.shop/search?AMI=13&ASI=41,プロポリス石鹸,消臭、ニキビの改善,"プロポリス,はちみつ,石鹸ベースなど",プロポリス石鹸は、ニキビや肌荒れなどの炎症を抑え、清潔で健康的な肌を保つ薬用石鹸です。抗菌作用のあるプロポリスエキスやビタミンEが、肌の再生をサポートし、敏感肌の方にもおすすめです。,https://okusuritsuhan.shop/merchandise/636,"美容・スキンケア,石鹸,消臭、ニキビの改善,プロポリス,はちみつ,石鹸ベースなど,プロポリス石鹸, プロポリスソープ, 天然石鹸, オーガニック石鹸, 抗菌石鹸,ミツバチプロポリス, 殺菌ソープ, 保湿石鹸, 敏感肌用石鹸, 自然派コスメ,ニキビができやすい, 肌荒れを改善したい, 乾燥肌を保湿したい, 敏感肌に合う石鹸を探している, 体臭が気になる"
美容・スキンケア,https://okusuritsuhan.shop/search?AMI=13,まつげ美容液,https://okusuritsuhan.shop/search?AMI=13&ASI=46,ケアプロスト,まつ毛伸長促進,ビマトプロスト,ケアプロストは、まつ毛を長く・太く・濃く美しくする効果がある海外医薬品です。主成分ビマトプロストがまつ毛の発達サイクルを延長し、まつ毛の伸長と濃密化を促進します。まつ毛貧毛症や薄いまつ毛に悩む方におすすめの外用液です。,https://okusuritsuhan.shop/merchandise/398,"美容・スキンケア,まつげ美容液,まつ毛伸長促進,ビマトプロスト,ケアプロスト, ケアプロスト通販, ケアプロスト正規品, ケアプロスト最安値, ケアプロストまつ毛美容液,グラッシュビスタ, ルミガン, まつ毛伸長剤, まつ毛美容液, まつ毛ボリュームアップ,まつ毛が短い, まつ毛が薄い, まつ毛が少ない, まつ毛を伸ばしたい, まつ毛にハリがない, まつ毛のボリューム不足, まつ毛の密度が低い, まつ毛を濃くしたい, アイラッシュケア, 目元の美容, まつ毛密度向上, アイメイク効果"
性病・感染症の治療薬,https://okusuritsuhan.shop/search?AMI=10,クラミジア治療薬,https://okusuritsuhan.shop/search?AMI=10&ASI=32,アジー,細菌感染症治療,アジスロマイシン水和物,アジーは有効成分アジスロマイシンを含む抗生物質で、喉の痛みや気管支炎、尿道炎、クラミジアや淋病など細菌感染症の治療に効果を発揮します。1日1回の服用で持続的に作用します。,https://okusuritsuhan.shop/merchandise/291,"性病・感染症の治療薬,クラミジア治療薬,細菌感染症治療,アジスロマイシン水和物,アジー, アジスロマイシン, アジー通販, アジー500mg, 抗生物質通販,ジスロマック, 抗菌薬, マクロライド系抗生物質, 細菌感染症治療薬, 喉の痛み薬,喉が痛い, 扁桃炎が治らない, 咽頭炎の薬を探している, 副鼻腔炎の症状, 咳が長引く"
性病・感染症の治療薬,https://okusuritsuhan.shop/search?AMI=10,クラミジア治療薬,https://okusuritsuhan.shop/search?AMI=10&ASI=32,ジスロマック,細菌感染症治療,アジスロマイシン,ジスロマックは、マクロライド系抗生物質で主成分アジスロマイシンが細菌の増殖を抑制します。咽頭炎・気管支炎・肺炎などの呼吸器感染症のほか、クラミジア感染症や淋病（淋菌感染症）にも効果があります。炎症や発熱などの症状を改善し、幅広い感染症治療に用いられます。,https://okusuritsuhan.shop/merchandise/292,"性病・感染症の治療薬,クラミジア治療薬,細菌感染症治療,アジスロマイシン,ジスロマック, アジスロマイシン, 抗生物質, 細菌感染症治療薬, ジスロマック通販,ジスロマックSR, ジスロマックZパック, アジスロマイシン錠, マクロライド系抗菌薬, 細菌感染症薬,喉の痛みが治らない, 扁桃炎の治療薬を探している, 性病の薬が欲しい, 尿道炎を早く治したい, 咳や発熱が長引いている"
性病・感染症の治療薬,https://okusuritsuhan.shop/search?AMI=10,淋病,https://okusuritsuhan.shop/search?AMI=10&ASI=34,アジー,細菌感染症治療,アジスロマイシン水和物,アジーは有効成分アジスロマイシンを含む抗生物質で、喉の痛みや気管支炎、尿道炎、クラミジアや淋病など細菌感染症の治療に効果を発揮します。1日1回の服用で持続的に作用します。,https://okusuritsuhan.shop/merchandise/291,"性病・感染症の治療薬,淋病,細菌感染症治療,アジスロマイシン水和物,アジー, アジスロマイシン, アジー通販, アジー500mg, 抗生物質通販,ジスロマック, 抗菌薬, マクロライド系抗生物質, 細菌感染症治療薬, 喉の痛み薬,喉が痛い, 扁桃炎が治らない, 咽頭炎の薬を探している, 副鼻腔炎の症状, 咳が長引く"
性病・感染症の治療薬,https://okusuritsuhan.shop/search?AMI=10,淋病,https://okusuritsuhan.shop/search?AMI=10&ASI=34,ジスロマック,細菌感染症治療,アジスロマイシン,ジスロマックは、マクロライド系抗生物質で主成分アジスロマイシンが細菌の増殖を抑制します。咽頭炎・気管支炎・肺炎などの呼吸器感染症のほか、クラミジア感染症や淋病（淋菌感染症）にも効果があります。炎症や発熱などの症状を改善し、幅広い感染症治療に用いられます。,https://okusuritsuhan.shop/merchandise/292,"性病・感染症の治療薬,淋病,細菌感染症治療,アジスロマイシン,ジスロマック, アジスロマイシン, 抗生物質, 細菌感染症治療薬, ジスロマック通販,ジスロマックSR, ジスロマックZパック, アジスロマイシン錠, マクロライド系抗菌薬, 細菌感染症薬,喉の痛みが治らない, 扁桃炎の治療薬を探している, 性病の薬が欲しい, 尿道炎を早く治したい, 咳や発熱が長引いている"
性病・感染症の治療薬,https://okusuritsuhan.shop/search?AMI=10,梅毒,https://okusuritsuhan.shop/search?AMI=10&ASI=30,ビクシリン・ジェネリック（アンピシリン）,淋病、梅毒、その他感染症,アンピシリン,ビクシリン・ジェネリック（有効成分アンピシリン）は、ペニシリン系の抗生物質で、淋病や梅毒などの性感染症のほか、気管支炎、尿路感染症、皮膚感染など幅広い細菌感染に有効です。細菌の増殖を抑え、症状の改善を助けます。,https://okusuritsuhan.shop/merchandise/1115,"性病・感染症の治療薬,梅毒,淋病、梅毒、その他感染症,アンピシリン,ビクシリンジェネリック, アンピシリン, ペニシリン系抗生物質, 抗生物質通販, 細菌感染症治療薬,ビクシリン, アンピシリンカプセル, 抗菌薬, バクテリア感染治療, 抗生物質ジェネリック,喉が痛い, 扁桃腺が腫れている, 膀胱炎を治したい, 皮膚の感染が気になる, 発熱や炎症が続く"
性病・感染症の治療薬,https://okusuritsuhan.shop/search?AMI=10,ヘルペス,https://okusuritsuhan.shop/search?AMI=10&ASI=36,バルクロビル,単純疱疹の治療および再発抑制など,ラシクロビル,バルクロビルは、単純ヘルペスや帯状疱疹の治療・再発抑制に効果的な抗ウイルス薬です。体内でアシクロビルに変化し、ウイルスの増殖を抑え症状の悪化を防ぎます。主成分はバラシクロビル塩酸塩です。,https://okusuritsuhan.shop/merchandise/949,"性病・感染症の治療薬,ヘルペス,単純疱疹の治療および再発抑制など,ラシクロビル,バルクロビル, バルシクロビル, Valcivir, ヘルペス治療薬, 帯状疱疹治療薬,バルトレックス, アシクロビル, 抗ウイルス薬, 口唇ヘルペス薬, 性器ヘルペス治療,唇に水ぶくれができた, 帯状疱疹の痛みがつらい, ヘルペスが再発した, 性器にかゆみや痛みがある, 発疹やピリピリする感覚がある"
